path,phase,required,owner,status,revision,sha256,consumes,evidence_ids,confidentiality,produced_by,verified_by,verification_id,verification_event_id,provenance_event_id,schema_id,schema_revision,semantic_type,na_policy_code,na_reason_code,verifier_registry_id,signing_key_id,updated_at,notes
00-governance/intake-original.md,INTAKE,true,root-integration-owner,VERIFIED,2,e7e2c21c831851cf40b800af2b7ab3a3a621cf6b7820ba392604de18aa80e7f1,,,UNRESOLVED,single-input-kickoff,runtime-governance,INTAKE-V4-RAW-HASH-001,VER-49361168fcb6,PROV-f30562b4e20b,S4::00_governance_intake_original_md,1,intake_original,INTAKE_REQUIRED,,runtime-mechanical-attestor,runtime-governance,2026-08-02T01:40:57Z,"Mechanical recertification only; does not verify novelty, feasibility, authority, or scientific validity."
00-governance/intake.json,INTAKE,true,root-integration-owner,VERIFIED,4,3ed3417c7602c498784f1d45252ad3413c186dfb1948bce1d9541b382c8b3149,00-governance/intake-original.md,,UNRESOLVED,single-input-kickoff,runtime-governance,INTAKE-V4-NORMALIZATION-002,VER-ed98e10a1d96,PROV-4ee062361520,S4::00_governance_intake_json,1,normalized_intake,INTAKE_REQUIRED,,runtime-mechanical-attestor,runtime-governance,2026-08-02T01:41:20Z,"Mechanical recertification only; does not verify novelty, feasibility, authority, or scientific validity. Serial re-record after registry write collision; prior signed event preserved in history."
00-governance/program-charter.md,INTAKE,true,intake_integration,BLOCKED,5,56a6aa4f9519e7edeb20ad1dee155a04b559cb102c276e9c8a7c5ce266fd927c,00-governance/intake.json,,UNRESOLVED,dispatch-3272c6cff13b,,,,PROV-94edc7ac06a7,S4::00_governance_program_charter_md,1,program_charter,CHARTER_REQUIRED,,,,2026-08-02T01:45:48Z,"Schema-v4 migration control-plane defects were repaired, the raw and normalized intake were mechanically recertified, the charter/profile were corrected to nonfinal draft scope, and both structural and strict checks pass. INTAKE cannot advance because program-charter.md and study-profile.json require an externally rooted independent verifier; the reporting route and accountable jurisdiction/ethics authority for later prospective work are not yet resolved."
00-governance/decision-log.md,INTAKE,false,root-integration-owner,DRAFT,45,e4298b4de7589c47f7c7f708ecd3bc3ca5a684b0a17aa2e5c7280b78c8f365eb,00-governance/intake.json,C001,UNRESOLVED,gate-decision-append,,,,,S4::00_governance_decision_log_md,1,generic,GENERIC,,,,2026-08-02T01:46:10Z,Append-only control ledger; each gate append creates a new draft revision.
01-novelty/problem-investigation.md,NOVELTY_AUDIT,true,problem_investigation,STALE,5,581a0d3b1810ff57d5224f444a736492591435b18cf3ec30072fde8a9410815f,00-governance/program-charter.md,C001,UNRESOLVED,root-integration-owner,,,,,S4::01_novelty_problem_investigation_md,1,generic,GENERIC,,,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/search-protocol.md,NOVELTY_AUDIT,true,root-integration-owner,STALE,7,8b728842ad1aa4561479373b930fcc09f5f0ca7aae7e00e6920ce1a4242f8fcb,01-novelty/problem-investigation.md,C001,UNRESOLVED,root-integration-owner,,,,,S4::01_novelty_search_protocol_md,1,generic,GENERIC,,,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/evidence-ledger.csv,NOVELTY_AUDIT,true,root-integration-owner,STALE,6,f7259654d8159a3d6caeb3e5e90ec16b28e12dd27debb448077527232d76d15d,01-novelty/search-protocol.md,PA001-PA040,UNRESOLVED,root-integration-owner,,,,,S4::01_novelty_evidence_ledger_csv,1,generic,GENERIC,,,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/novelty-matrix.csv,NOVELTY_AUDIT,true,root-integration-owner,STALE,7,5c84430a94dfaf6dd26a073b4dd0bf949d2f4483e5c4dc9cfc4575c63d261a72,01-novelty/evidence-ledger.csv|01-novelty/search-coverage.csv|01-novelty/independent-search-challenge.md,C001,UNRESOLVED,root-integration-owner,,,,,S4::01_novelty_novelty_matrix_csv,1,novelty_matrix,NOVELTY_MATRIX_REQUIRED,,,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/citation-audit.md,NOVELTY_AUDIT,true,root-integration-owner,STALE,7,ba2a79b7acd63ec83511c007b4f09d55ddf2a6430ca9ab7b2e74b83fd25a1b73,01-novelty/evidence-ledger.csv|01-novelty/novelty-matrix.csv,C001,UNRESOLVED,root-integration-owner,,,,,S4::01_novelty_citation_audit_md,1,generic,GENERIC,,,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/causal-model.mmd,NOVELTY_AUDIT,true,problem_investigation,STALE,5,2f7c579f61eff99bb9135ce599ccaf17cafa115c1df41f4489543d3f46984c20,01-novelty/problem-investigation.md,C001,UNRESOLVED,root-integration-owner,,,,,S4::01_novelty_causal_model_mmd,1,generic,GENERIC,,,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
