matrix_id,claim_id,component,chronosaudit_requirement,predecessor_id,closest_predecessor_label,verified_overlap,material_difference,defeating_evidence,residual_uncertainty,lowest_supportable_novelty_stage
NM001,C001,"Real-incident benchmark population and reproducible provenance","Real incidents with immutable case-level provenance and prediction-time artifacts.","PA013;PA012;PA010;PA004;PA039;PA040","CyberChainBench; SCONE-bench; EVMbench; DAppSCAN; SCDBench; SC-Bench","Real incidents, benchmark provenance, paired source/bytecode corpora, and public benchmark packaging are already established.","ChronosAudit must show prediction-time admissibility manifests and audit-ready provenance rules rather than claiming novelty for real incidents alone.","PA013 and PA012 already use large real-incident corpora; PA010, PA004, PA039, and PA040 show reproducible public benchmark packaging and real-contract datasets.","Whether any predecessor already exposes machine-verifiable admissibility manifests at the case and prediction-time level was not verified in the bounded search.","NOT_DIFFERENTIATING"
NM002,C001,"Historical chain-state or executable evidence grading","Executable grading through exploit replay, invariant violation, counterexample, or analogous machine-checkable evidence.","PA013;PA010;PA012;PA018;PA003;PA039","CyberChainBench; EVMbench; SCONE-bench; Truffle Tests for Free; SolidiFI; SCDBench","Historical replay and executable or replay-based semantic grading are already present in multiple predecessors.","ChronosAudit must frame executable evidence as one layer inside a broader admissibility and censor-aware protocol.","PA013 reconstructs exploits on historical forks; PA010 and PA012 use executable grading; PA039 adds differential-replay checkpoints; PA018 and PA003 are earlier evidence-generation precursors.","Whether ChronosAudit's proposed evidence ladder has a materially different adjudication contract from these predecessors is still open.","NOT_DIFFERENTIATING"
NM003,C001,"Temporal or post-cutoff control","Evaluation restricted by deployment or model-release time with explicit pre-cutoff information constraints.","PA011;PA012","Re-Evaluating EVMbench; SCONE-bench","Post-cutoff and scaffold-sensitive evaluation are already established.","ChronosAudit must show that time-only or post-cutoff control is insufficient without lineage, clone, and mechanism separation.","PA011 directly defeats novelty of post-cutoff evaluation alone; PA012 also includes a post-knowledge-cutoff subset.","Whether any smart-contract benchmark already ties temporal admissibility to a machine-verifiable manifest for every prediction was not verified.","NOT_DIFFERENTIATING"
NM004,C001,"Protocol or entity lineage separation","Joint split control across protocol, organization, factory, fork, or upgrade lineage.","PA013;PA011;PA014","CyberChainBench; Re-Evaluating EVMbench; When Datasets Deceive","Adjacent benchmarks expose repeated families and contamination concerns but no reviewed source verified a protocol/entity-lineage split as a formal benchmark axis.","ChronosAudit needs a reproducible lineage ontology and audit trail that materially changes measured survival.","No reviewed predecessor was verified to implement protocol/entity-lineage separation as part of a complete admissibility policy.","Search terminology may have missed lineage controls described as ecosystem, family, project, factory, or upgrade partitioning.","UNRESOLVED"
NM005,C001,"Normalized source and bytecode clone separation","Joint split control across normalized source-code and bytecode clone families.","PA014;PA015;PA016;PA017","When Datasets Deceive; Clone Detection for Smart Contracts: How Far Are We?","Clone leakage is already documented and clone-family construction is technically mature enough to benchmark.","ChronosAudit must combine clone separation with time, lineage, mechanism, and operational evaluation rather than claiming clone control itself as novel.","PA014 directly defeats novelty of overlap-free splitting alone; PA015-PA017 show clone benchmarking and large-scale clone prevalence.","Whether a prior vulnerability benchmark already uses both normalized source and bytecode clone families jointly with other strict controls remains open.","NOT_DIFFERENTIATING"
NM006,C001,"Proxy implementation and attacker-clone separation","Joint split control across proxy implementation families and attacker-contract reuse.","PA013;PA021;PA031;PA034;PA035;PA038","CyberChainBench; SoK: Root Cause; OWASP SCSVS; BlockWatchdog; Evil Under the Sun; ERC-1167","Proxy-aware verification, standardized clone bytecode, attacker-contract analysis, exploit reuse, campaign structure, and execution-trace clustering are established. No reviewed source verified attacker-clone and proxy-implementation families as formal benchmark split axes.","ChronosAudit needs explicit attacker-side and proxy-family leakage rules that are rerunnable and must demonstrate a material performance effect.","PA031 defeats novelty of proxy-aware security controls; PA038 defeats novelty of minimal-proxy family recognition; PA034 defeats attacker-contract-aware detection; PA035 defeats novelty of exploit reuse, campaign dependence, and trace clustering.","The targeted search may still miss operational controls described as campaign isolation, infrastructure families, exploit propagation, or implementation lineage; proprietary protocols remain inaccessible.","POTENTIALLY_DIFFERENTIATING"
NM007,C001,"Exploit-mechanism family separation","Joint split control across exploit-mechanism or root-cause families.","PA007;PA021;PA004;PA036;PA037;PA040","Combatting Front-Running...; SoK: Root Cause...; DAppSCAN; SAST Tools; SDABA; SC-Bench","Mechanism or root-cause taxonomies already exist, and current benchmarks cover broad vulnerability families or auditing-rule violations.","ChronosAudit must show cross-mechanism separation as a general admissibility control rather than claiming exploit taxonomy itself is novel.","PA007 and PA021 defeat novelty of mechanism-family thinking; PA036 and PA037 add broad current taxonomies; PA040 adds large-scale auditing-rule violations.","Whether any predecessor already enforces exploit-mechanism families as a split axis across a mixed benchmark population remains open.","UNRESOLVED"
NM008,C001,"Censor-aware population states","Population model with confirmed positives, mature investigated negatives, and unresolved right-censored contracts.","PA026;PA027;PA008;PA022;PA037","FinSurvival; Temporal Web3 Intelligence; Vulnerable Does Not Imply Exploited; Dos and Don'ts of ML in Computer Security; SDABA","Right-censored Web3 benchmarking, temporal non-stationarity, exploitation sparsity, fixed-version negative evaluation, and security-ML base-rate pitfalls are all established.","ChronosAudit must justify an exploit-specific outcome and maturity contract and show that censor-aware inference changes conclusions only when combined with admissibility controls.","PA026 and PA027 defeat novelty of right-censored temporal Web3 benchmarks; PA008 and PA022 defeat novelty of the open-world and base-rate motivation; PA037 adds fixed-version negative evaluation but not mature-negative follow-up.","The exploit-specific censoring estimand and its assumptions remain scientifically unverified, but censoring itself is not differentiating.","NOT_DIFFERENTIATING"
NM009,C001,"Performance-survival split ladder","A staged decay study from weak controls to strict joint independence control and then prospective testing.","PA011;PA014;PA013","Re-Evaluating EVMbench; When Datasets Deceive; CyberChainBench","Adjacent works show scaffold sensitivity, overlap-free re-evaluation, and strong historical-state benchmarking, but not the full survival ladder proposed here.","ChronosAudit must quantify decay attributable to adding controls in a prespecified ladder, not merely report one strict split.","No reviewed predecessor was verified to present the full random-to-joint-independence-to-prospective survival ladder.","A closer predecessor may exist in benchmark contamination or surveillance literatures outside the exact terminology used here.","POTENTIALLY_DIFFERENTIATING"
NM010,C001,"Calibrated selective prediction with realistic workload","Abstention, precision-coverage, calibration, alert budgets, and analyst workload under realistic base rates.","PA012;PA023;PA024;PA025;PA022;PA008;PA033;PA036;PA037","SCONE recent-contract experiment; selective-classification methods; security-ML base-rate work; FIRST EPSS; current SAST benchmarks","Selective prediction, calibration, base-rate reasoning, rolling pre-outcome exploit probabilities, low-precision tool evaluation, and prioritization trade-offs are established; SCONE reports a mostly-negative recent-contract scan with cost and revenue accounting.","ChronosAudit must show that a frozen selective policy, analyst-time accounting, and cost-sensitive decisions change under the joint smart-contract admissibility controls.","PA012 defeats novelty of smart-contract scan cost accounting; PA023-PA025 defeat methods novelty; PA033 defeats broad claims for operational exploit-probability prioritization; PA036-PA037 strengthen false-positive evaluation precedent; PA008 and PA022 defeat base-rate motivation novelty.","Whether a smart-contract benchmark combines calibrated abstention, measured analyst workload, and joint contamination control remains unverified.","POTENTIALLY_DIFFERENTIATING"
