case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,mechanism_candidate_confidence,mechanism_candidate_rule,protocol_status,mechanism_status
bancor,Bancor Protocol,bancor,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
opyn,Opyn Protocol,opyn,msgValue in loop,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
bzx,bzx,bzx,Incorrect transfer,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cover,Cover Protocol,cover,Incorrect calculation via cached data,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pickle,Pickle Finance,pickle,Insufficient validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
harvestfinance,Harvest Finance,harvestfinance,Flashloan Attack,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sushi_badger_digg,Sushi Badger Digg,sushi_badger_digg,Sandwich attack,transaction_ordering_or_mev,medium,rule:transaction_ordering_or_mev,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lendfme,LendfMe,lendfme,ERC777 Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
yearn_ydai,Yearn YDai,yearn_ydai,Slippage proection absent,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
uranium,Uranium,uranium,Miscalculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
spartan,Spartan,spartan,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dodo_flashloan,DODO,dodo_flashloan,Flashloan Attack,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pancakebunny,PancakeBunny,pancakebunny,Price Oracle Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
