question_id,stage,category,killer_question,initial_status,fix_or_control,final_status,required_or_produced_evidence,blocking_owner
2A-KQ-01,2A,chronology,Is the deployment transaction independently known for every retained case?,UNRESOLVED,Add archive/indexer deployment-transaction resolver with provider consensus.,BLOCKED,"Deployment transaction hash, block number, timestamp, and two-source corroboration.",data-operations
2A-KQ-02,2A,chronology,Is the deployment block earlier than the prediction cutoff?,UNCONTROLLED,Encode deploy < cutoff as a mandatory fail-closed predicate.,PASS_BY_DESIGN,Schema predicate and exclusion reason code; real values still required.,pipeline
2A-KQ-03,2A,chronology,Is the incident block or timestamp independently corroborated?,UNRESOLVED,Seed public incident dates and require attack-transaction or second-source confirmation.,PARTIAL,417/417 incident dates recovered from frozen hashed DeFiHackLabs history; 60 cases include transaction-hash hints; independent second-source/receipt corroboration remains required.,data-operations
2A-KQ-04,2A,chronology,Is the cutoff strictly earlier than the incident and all prohibited disclosures?,UNCONTROLLED,Freeze a case-specific cutoff after chronology reconstruction and test ordering.,PASS_BY_DESIGN,Cutoff-order predicate implemented; case values unavailable.,pipeline
2A-KQ-05,2A,chronology,Is the meaning of prediction cutoff consistent across all cases?,AMBIGUOUS,"Freeze cutoff policy: latest finalized block before first incident transaction, with sensitivity windows.",PASS_BY_DESIGN,Versioned cutoff policy YAML.,methodology
2A-KQ-06,2A,source availability,Is the first defensible public availability time of verified source code known?,MISSING,"Implement explorer-history, repository-commit, and archival-snapshot adapters.",BLOCKED,First-publication timestamp plus source snapshot hash.,data-operations
2A-KQ-07,2A,bytecode availability,Is runtime bytecode available at the exact cutoff block?,MISSING,Query eth_getCode at historical block from two archive providers.,BLOCKED,"Provider responses, block hash, bytecode hash, and consensus result.",data-operations
2A-KQ-08,2A,provenance,Does every local input and generated output have a cryptographic content hash?,PARTIAL,Hash both raw sources and all append-only registry records.,PASS,"SHA-256 source hashes and 1,264-record valid hash chain.",pipeline
2A-KQ-09,2A,provenance,"Are retrieval query, endpoint, response time, and provider identity retained?",NOT_RECORDED,Define provider-observation records and append-only query logs.,PASS_BY_DESIGN,Provider observation schema and on-chain query queue.,pipeline
2A-KQ-10,2A,provider disagreement,Are conflicting provider observations preserved rather than overwritten?,RISK,Store every observation and require explicit consensus/adjudication status.,PASS_BY_DESIGN,Multi-provider evidence model; external observations pending.,pipeline
2A-KQ-11,2A,chain finality,Are chain reorganizations and block finality handled before evidence is frozen?,NOT_SPECIFIED,Add chain-specific finality depths and block-hash pinning.,PASS_BY_DESIGN,Policy fields defined; live chain exercise pending.,production
2A-KQ-12,2A,timestamp integrity,Are timestamps normalized to UTC and checked against canonical block timestamps?,UNCONTROLLED,Normalize to UTC and validate date/block consistency.,PASS_BY_DESIGN,Normalization rule; real block timestamps pending.,pipeline
2A-KQ-13,2A,information separation,"Can post-incident reports, exploit writeups, or later labels enter detector-visible inputs?",LEAKAGE_RISK,Separate detector and evaluator planes and deny later artifacts to detector adapters.,PASS_BY_DESIGN,"Separate schemas, release fields, and access policy.",pipeline
