surface,source,exact_query_or_traversal,vocabulary,date_range,search_date,filters,results,screened,included,known_item_recovery,backward_citations,forward_citations,author_lab_followup,access_limit,last_new_predecessor,residual_risk,owner,verifier
benchmark_and_historical_execution,"public web discovery; arXiv; primary proceedings and official benchmark pages","Q1: site:arxiv.org smart contract vulnerability benchmark temporal split leakage dataset clones MANDO-LLM SmartBugs | Q4: smart contract vulnerability detection benchmark historical chain state prospective evaluation executable exploit replay paper | Q11: smart contract security benchmark post knowledge cutoff exploit benchmark official paper EVMbench SCONE | Q15: CyberChainBench arxiv 2606.26216 | Q16: site:arxiv.org smart contract benchmark historical blockchain state real incidents exploit replay 2026","smart contract benchmark; historical state; executable exploit; post-cutoff",all-to-2026-08-01,2026-08-01,"public primary record required; snippets discovery-only",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"not query-attributed; see PA001-PA035",PARTIAL,PARTIAL,PARTIAL,PARTIAL,"no Scopus/Web of Science; some metadata-only records",CyberChainBench,"historical counts and query-to-source attribution absent",root-integration-owner,PENDING_INDEPENDENT
benchmark_repositories_and_baselines,"ACM; GitHub; publisher and official repositories","Q2: site:dl.acm.org smart contract vulnerability dataset benchmark SmartBugs SolidiFI DAppSCAN MANDO | Q3: site:github.com smart contract vulnerability benchmark dataset SmartBugs Wild DAppSCAN MANDO-LLM | Q5: MANDO-LLM smart contract vulnerability detection paper arxiv official repository | Q6: SmartBugs framework empirical analysis smart contract security tools ICSE 2020 DOI | Q7: SolidiFI automated bug injection smart contracts benchmark ICSE official paper | Q8: DAppSCAN smart contract dataset official paper arxiv","SmartBugs; SolidiFI; DAppSCAN; MANDO-LLM",all-to-2026-08-01,2026-08-01,"official or primary records; detector-only papers excluded unless benchmark-relevant",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see ledger",PASS_FOR_NAMED_ITEMS,PARTIAL,PARTIAL,PARTIAL,"MANDO-LLM full text unavailable on reviewed public surface",MANDO-LLM,"baseline versions and inaccessible full text may hide controls",root-integration-owner,PENDING_INDEPENDENT
clone_overlap_and_duplicate_control,"arXiv; ACM; publisher abstracts; clone-detection literature","Q9: smart contract clone detection dataset benchmark source bytecode clones paper arxiv | Q10: smart contract vulnerability dataset temporal split train test leakage duplicates clones paper | Q13: When datasets deceive Exposing overlap in smart contract vulnerability detection DOI authors | Q14: site:arxiv.org When datasets deceive smart contract | Q41: When Datasets Deceive smart contract vulnerability detection pdf","clone; duplicate; overlap; zero-function-overlap; source; bytecode; semantic clone",all-to-2026-08-01,2026-08-01,"primary record preferred; abstract-only evidence explicitly downgraded",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see PA014 and clone rows",PASS,PARTIAL,PARTIAL,PARTIAL,"PA014 full text inaccessible in bounded public surface",When Datasets Deceive,"semantic/proxy/attacker clone definitions may differ",root-integration-owner,PENDING_INDEPENDENT
temporal_scaffold_and_prospective,"arXiv; official technical reports; benchmark pages","Q11: smart contract security benchmark post knowledge cutoff exploit benchmark official paper EVMbench SCONE | Q12: smart contract vulnerability benchmark prospective shadow deployment calibration abstention selective prediction | Q16: site:arxiv.org smart contract benchmark historical blockchain state real incidents exploit replay 2026 | Q28: smart contract security prospective shadow deployment frozen model benchmark","post-cutoff; prospective; shadow; frozen scaffold; recent contracts; zero-day",all-to-2026-08-01,2026-08-01,"public primary or official report",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see SCONE and Re-Evaluating EVMbench rows",PASS,PARTIAL,PARTIAL,PARTIAL,"proprietary vendor deployments inaccessible",SCONE,"one-time scans may be described with different terminology",root-integration-owner,PENDING_INDEPENDENT
censoring_delayed_labels_and_survival,"arXiv; public benchmark papers; adjacent security and Web3 literature","Q17: smart contract vulnerability right-censored contracts survival analysis exploit prediction | Q18: blockchain smart contract exploit prediction survival analysis time-to-event vulnerability | Q25: smart contract exploit prediction survival analysis right censored vulnerability benchmark | Q26: smart contract vulnerability detection positive unlabeled delayed labels open world evaluation | Q29: FinSurvival benchmark DeFi survival analysis arxiv Seneviratne 2026 | Q30: site:arxiv.org DeFi survival analysis benchmark right censoring 2026 | Q35: smart contract vulnerability benchmark delayed labels open population evaluation exploit prediction","right-censored; survival; time-to-event; delayed labels; positive-unlabeled; open population",all-to-2026-08-01,2026-08-01,"smart-contract exploit focus plus adjacent Web3/security methods",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see FinSurvival and delayed-label rows",PASS,PARTIAL,PARTIAL,PARTIAL,"adjacent methods do not establish smart-contract exploit equivalence",FinSurvival,"transfer may make combination obvious even without exact-domain predecessor",root-integration-owner,PENDING_INDEPENDENT
selective_prediction_workload_and_base_rates,"JMLR/TMLR; USENIX; FIRST; general security-ML primary records","Q19: selective prediction abstention calibration security vulnerability detection benchmark workload | Q20: security vulnerability detection realistic base rates false positives analyst workload benchmark paper | Q21: Dos and Don'ts of Machine Learning in Computer Security USENIX Security 2022 DOI authors | Q22: site:usenix.org Dos and Don'ts of Machine Learning in Computer Security | Q23: Machine Learning in Computer Security pitfalls base rate false positives paper 2022 | Q24: selective classification risk coverage benchmark Geifman El-Yaniv 2017 paper | Q40: site:first.org EPSS model specification delayed label exploit prediction probability 30 days","selective classification; risk-coverage; abstention; calibration; workload; base rate; exploit prediction",all-to-2026-08-01,2026-08-01,"primary/official records; domain transfer explicit",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see selective-classification and EPSS rows",PASS,PARTIAL,PARTIAL,PARTIAL,"not all source versions or model histories reviewed",EPSS,"component novelty fully defeated; integration may be routine",root-integration-owner,PENDING_INDEPENDENT
lineage_proxy_attacker_and_campaign_dependence,"arXiv; ACM; USENIX; public security papers","Q27: smart contract vulnerability benchmark protocol lineage proxy family attacker contract clone split | Q36: smart contract exploit campaign clustering attacker contract clone trace reuse benchmark | Q37: site:arxiv.org smart contract exploit campaign clustering attacker addresses contracts clone | Q38: site:dl.acm.org smart contract attacker contract clone exploit campaign | Q39: site:usenix.org smart contract exploit campaign clustering transaction traces","protocol lineage; entity lineage; proxy family; attacker contract; exploit campaign; trace similarity",all-to-2026-08-01,2026-08-01,"primary records with explicit dependence evidence",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see BlockWatchdog and Evil Under the Sun rows",PASS,PARTIAL,PARTIAL,PARTIAL,"terminology fragmented across campaign and forensics literature",Evil Under the Sun,"explicit benchmark split use may remain undiscovered",root-integration-owner,PENDING_INDEPENDENT
patents,"Google Patents public records","Q31: site:patents.google.com smart contract vulnerability detection benchmark temporal | Q32: site:patents.google.com smart contract exploit prediction machine learning","patent; duplicate filtering; violation prediction; exploit prediction; temporal",all-to-2026-08-01,2026-08-01,"public record and claims/abstract-level review; not legal FTO",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see PA027-PA030",PARTIAL,N_A,N_A,PARTIAL,"targeted only; families jurisdictions prosecution history and non-English claims incomplete",CN110737899A,"material undiscovered patent-family risk remains",root-integration-owner,PENDING_INDEPENDENT
standards_and_governance,"OWASP SCSVS; EEA EthTrust; official standards pages","Q33: site:scs.owasp.org Smart Contract Security Verification Standard proxy upgradeability benchmark | Q34: site:entethalliance.org smart contract security levels specification EthTrust PDF","verification standard; proxy; upgradeability; security level; benchmark governance",all-to-2026-08-01,2026-08-01,"official public standards only",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see PA031-PA032",PASS,N_A,N_A,PARTIAL,"broader standards bodies and private governance protocols not exhaustively checked",EEA EthTrust v3,"standard may exist under audit-assurance terminology",root-integration-owner,PENDING_INDEPENDENT
citation_chain,"public reference lists and public citing-record discovery","Backward and forward traversal from the closest historical/executable benchmark, post-cutoff evaluation, clone-overlap, Web3-survival, selective-prediction, attacker-campaign, and standards predecessor classes","backward citations; forward citations; related work; author/lab",all-to-2026-08-01,2026-08-01,"publicly accessible citations only",NOT_RECORDED_HISTORICAL,NOT_RECORDED_HISTORICAL,"see evidence ledger discovery notes",PARTIAL,PARTIAL,PARTIAL,PARTIAL,"no subscription citation index; traversal depth not recorded per seed",SCONE,"citation-chain saturation not reproducibly demonstrated",root-integration-owner,PENDING_INDEPENDENT
known_item_recovery,"historical query log and evidence ledger","Recover SmartBugs; SolidiFI; DAppSCAN; MANDO-LLM; EVMbench; Re-Evaluating EVMbench; SCONE; CyberChainBench; When Datasets Deceive; FinSurvival; EPSS; OWASP SCSVS; EEA EthTrust","known item; exact title; acronym; author/project tracking",all-to-2026-08-01,2026-08-01,"named public item recovery",13,13,13,PASS,PARTIAL,PARTIAL,PARTIAL,"set was reconstructed after the historical search rather than prespecified",SCONE,"passing reconstructed known items does not repair historical predeclaration",root-integration-owner,PENDING_INDEPENDENT
null_negative_correction_retraction,"public scholarly and official sources","No distinct null/negative/correction/retraction query family was preserved in attempts 1-4","null; negative; contradictory; failure; correction; retraction",all-to-2026-08-01,2026-08-01,"required by schema-v2 assurance",NOT_EXECUTED,0,0,NOT_TESTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,"historical protocol stated the requirement but preserved no exact query",NONE,"material coverage gap; attempt-5 challenger must execute a bounded family",root-integration-owner,PENDING_INDEPENDENT
proprietary_nonpublic_and_non_english,"not accessible under current public-source authority","No search of confidential vendor deployments private audit corpora embargoed studies proprietary databases or exhaustive non-English patent families","proprietary; confidential; embargoed; non-English",all-to-2026-08-01,2026-08-01,"omitted by authority/access boundary",NOT_ACCESSIBLE,0,0,N_A,N_A,N_A,N_A,"outside public access and current authority",UNKNOWN,"universal novelty is not supportable",root-integration-owner,PENDING_INDEPENDENT
attempt5_root_recovery_packet,"public web discovery with primary or official record retention","A5Q1: smart contract benchmark leakage lineage clone mechanism temporal split | A5Q2: smart contract benchmark right censored unresolved negative exploit detection | A5Q3: smart contract prospective shadow deployment frozen model vulnerability | A5Q4: smart contract information admissibility benchmark | A5Q5: security benchmark joint temporal lineage clone mechanism separation | A5Q6: smart contract vulnerability benchmark null negative contradictory failure","joint separation; right-censored; unresolved negative; prospective shadow; information admissibility; null; contradictory; failure",all-to-2026-08-02,2026-08-02,"public search; primary or official records retained; no archive/RPC or paid sources",BOUNDED_RETURN_SET_NOT_QUERY_ATTRIBUTED,11,5,"PASS for EVMbench SCONE SolidiFI When Datasets Deceive and named benchmark classes",NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,"per-query totals and attribution unavailable; no formal retraction database; no patent-family proprietary subscription or non-English search","PA036-PA040 added as new nonmaterial candidates after independent adjudication","root-authored packet is not an independent search and cannot repair historical counts",root-integration-owner,chronosaudit_attempt5_packet_adjudicator
