case_name,task_source,chain,fork_block_number,target_contract_address,evm_version,case_id,incident_date,incident_name,mechanism_raw,incident_contract_path,incident_chain,source_url,source_status,source_snapshot_sha256,incident_record_sha256,incident_reference_urls,incident_tx_hashes,incident_loss_text,match_method,incident_metadata_present,benchmark_fork_anchor_present,deployment_block,prediction_cutoff_block,incident_block_or_time,source_availability_time,runtime_bytecode_hash_at_cutoff,outcome_adjudication_id,temporal_certification,admissibility_reason_codes,population_role,replaced_parent_slot_case_id,parent_envelope_path,parent_envelope_sha256,parent_case_artifact_path,parent_case_artifact_sha256,candidate_envelope_path,candidate_envelope_sha256,historical_envelope_path,historical_envelope_sha256,replacement_selection_rank,replacement_order_rule,replacement_source_sha256,replacement_readme_sha256,replacement_incident_block,replacement_exploit_tx_hash,candidate_id,source_case_id,source_artifact_path,source_artifact_sha256,deployment_time,prediction_cutoff_time,code_size,proxy_status,source_verified_at_cutoff,identity_group,clone_family,proxy_family,protocol_family,mechanism_family,follow_up_horizon,positive_record_sha256,case_artifact_sha256,strict_snapshot_sha256,deployment_time_resolution,prediction_cutoff_time_resolution,code_size_resolution,proxy_resolution,source_verified_at_cutoff_resolution,identity_group_resolution,clone_family_resolution,protocol_family_resolution,mechanism_family_resolution,follow_up_horizon_resolution
bancor,defihacklabs,ethereum,10307563,0x5f58058c0ec971492166763c8c22632b583f667f,,ca2-0e06e67c5c9253228751,2020-06-18,Bancor Protocol,Access Control,src/test/2020-06/Bancor_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,12e769362c1be3988caf52c51ee183a7013887915f0bf8dccff261ab8b849737,"[""https://blog.bancor.network/bancors-response-to-today-s-smart-contract-vulnerability-dc888c589fe4"", ""https://etherscan.io/address/0x5f58058c0ec971492166763c8c22632b583f667f""]",[],,exact_contract_basename,True,True,,,2020-06-18,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-0e06e67c5c9253228751.json,9ed59df8e635ad4328e3a5c2d34e06b015567ea642f0881b849a2a47c1008713,cases/ca2-0e06e67c5c9253228751.json,e5e953ccf264c18ec2b22fdef548c87d195bb1a521cc14d4eb9c3bd358743ef1,,,,,,,,,,,,ca2-0e06e67c5c9253228751,cases/ca2-0e06e67c5c9253228751.json,e5e953ccf264c18ec2b22fdef548c87d195bb1a521cc14d4eb9c3bd358743ef1,2020-06-16T13:11:12Z,2020-06-17T13:11:57Z,14351,,,1:0x5f58058c0ec971492166763c8c22632b583f667f,9ce4a7cfc0733c85736401b608018b4ea1e242f114d9a6c156f39c08c545183d,,,,,c5aea131554b40551ded0a2b9d29f2185c63dfb60387096a156255bd407eeec1,323ebba4c7fd161fafef4f6e15656a96f6fe517f66de76055b4b69d10f3d498b,2f54d734c205b17c4ac9954f5aece9b0299c430775507e0f2e00b6bad83c6716,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
opyn,defihacklabs,ethereum,10592516,0x951d51baefb72319d9fbe941e1615938d89abfe2,,ca2-b7ed9e346aa4cb6ca834,2020-08-04,Opyn Protocol,msgValue in loop,src/test/2020-08/Opyn_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,1a0143eddb168a6b6e718dd3f5a498429851eb5c198743f2b4c666b645a585ed,"[""https://etherscan.io/tx/0x56de6c4bd906ee0c067a332e64966db8b1e866c7965c044163a503de6ee6552a"", ""https://medium.com/opyn/opyn-eth-put-exploit-post-mortem-1a009e3347a8""]","[""0x56de6c4bd906ee0c067a332e64966db8b1e866c7965c044163a503de6ee6552a""]",,exact_contract_basename,True,True,,,2020-08-04,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-b7ed9e346aa4cb6ca834.json,7f74184aa48b7f46522bbf3a16d11d4ee1329c494db5e1dbdd7c4da7bb2d8614,cases/ca2-b7ed9e346aa4cb6ca834.json,2e0656ca7e4e36719ec8be796a884410cff926e07a714ddc829756d461692e9b,,,,,,,,,,,,ca2-b7ed9e346aa4cb6ca834,cases/ca2-b7ed9e346aa4cb6ca834.json,2e0656ca7e4e36719ec8be796a884410cff926e07a714ddc829756d461692e9b,2020-07-30T22:07:23Z,2020-07-31T22:07:34Z,16766,,,1:0x951d51baefb72319d9fbe941e1615938d89abfe2,7346dbbadcd3494fdec2fbf15705d8d15c2cb376f7379815805ae80f39a27c98,,,,,8f1b31318ad899eb9fe33b40bbcc0be2db3eeca2eace873226ac7bf7b3240320,5ccd313a9d5ac9b7cb1793f73d070084f65d979af001edc79e9262fef553cd75,97ec304944aa3ce1284dd38596aaa6ef69784baccf53909318ce6dc83f67925d,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
bzx,defihacklabs,ethereum,10852715,0xb983e01458529665007ff7e0cddecdb74b967eb6,,ca2-22e8cd13c63b74bc9bbc,2020-09-12,bzx,Incorrect transfer,src/test/2020-09/bzx_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,c1757886f5994b885b6fb157b5a4976ef009ba0a86633e2a73a8817e0b872a24,"[""https://twitter.com/0x000000000marc/status/1305354469354303488""]",[],```sh,frozen_date_override,True,True,,,2020-09-12,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-22e8cd13c63b74bc9bbc.json,4400ae03d69001a32bff98da4d9457186fdc2e8e5da1acb7213907e58ccfa208,cases/ca2-22e8cd13c63b74bc9bbc.json,99163425b5c85309954cfc5d3557f1734184e2a9fdd74c969ccdde4e7ff2c622,,,,,,,,,,,,ca2-22e8cd13c63b74bc9bbc,cases/ca2-22e8cd13c63b74bc9bbc.json,99163425b5c85309954cfc5d3557f1734184e2a9fdd74c969ccdde4e7ff2c622,2020-09-03T00:35:12Z,2020-09-04T00:35:16Z,2276,,,1:0xb983e01458529665007ff7e0cddecdb74b967eb6,a183d9ec920409137bd5684a1adeaa02fcd6e941b96e22cb574fe07d2c07d266,,,,,c16b1f254fdd317c7d420622004372727f17d76c60d3457908c0a29f1ed20519,fa5c6c02a25aadbb1a79375f5e133f15ad3990f07427e22b12e49ed8cd474b99,6c005c3fe773a68cb755ca3d586d02dfbb9921efbd24686bc7793fe28528114e,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
cover,defihacklabs,ethereum,11542309,0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,,ca2-2d1d603841d5194ab452,2020-12-29,Cover Protocol,Incorrect calculation via cached data,src/test/2020-12/Cover_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,092f869ecaf110a83300555d4e398c4f08a8e4b38f93fd479f97051f43bc0129,"[""https://mudit.blog/cover-protocol-hack-analysis-tokens-minted-exploit/"", ""https://slowmist.medium.com/a-brief-analysis-of-the-cover-protocol-hacked-event-700d747b309c""]",[],,exact_contract_basename,True,True,,,2020-12-29,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-2d1d603841d5194ab452.json,a4e9afb74f1113af8ec132beaa2d0b7815f76392b993f7c450ec5e22def6a42b,cases/ca2-2d1d603841d5194ab452.json,4987aea2c570bba0c28ffce8e44c0f470290f5d5ae083d8f04ca0ab5c9ddce43,,,,,,,,,,,,ca2-2d1d603841d5194ab452,cases/ca2-2d1d603841d5194ab452.json,4987aea2c570bba0c28ffce8e44c0f470290f5d5ae083d8f04ca0ab5c9ddce43,2020-11-19T23:49:35Z,2020-11-20T23:49:56Z,12838,,,1:0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,b6898673205d44564100172ad5276f3ef96e7a97fe050a37efc4cea4d0eb251a,,,,,003e097843e95efa8830795720ce570e80fcda2d924e288420f0801b5d023ddd,ed7590670fbadfc481e2b27749a6328486d99c6921b3b480cd3d8e47ae8f9b84,f7e4e9ac48ebc3686524823d543eef506ed0216de31e255971dc65dc10ca832b,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
pickle,defihacklabs,ethereum,11303122,0x6847259b2b3a4c17e7c43c54409810af48ba5210,,ca2-3843aa138b13af762925,2020-11-21,Pickle Finance,Insufficient validation,src/test/2020-11/Pickle_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,a60badf8ba8b49d7a818d8faba95f5f92214542caff298ac5a90b3ccdca24be9,"[""https://etherscan.io/tx/0xe72d4e7ba9b5af0cf2a8cfb1e30fd9f388df0ab3da79790be842bfbed11087b0"", ""https://github.com/banteg/evil-jar""]","[""0xe72d4e7ba9b5af0cf2a8cfb1e30fd9f388df0ab3da79790be842bfbed11087b0""]",,exact_contract_basename,True,True,,,2020-11-21,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-3843aa138b13af762925.json,0bf09d02d547f9974aa929bc6e7f7d0bcec1e0b1ef04e46bcb535058e4e095f1,cases/ca2-3843aa138b13af762925.json,e40e6226c30869f062ba227424e63856f48a33f6fe1338529c219e9beebcabe9,,,,,,,,,,,,ca2-3843aa138b13af762925,cases/ca2-3843aa138b13af762925.json,e40e6226c30869f062ba227424e63856f48a33f6fe1338529c219e9beebcabe9,2020-10-23T00:04:16Z,2020-10-24T00:04:17Z,11082,,,1:0x6847259b2b3a4c17e7c43c54409810af48ba5210,e183c18190e3a533bb95dc9f2aa38996a68f75e5f6537a813d7b0da2527e1801,,,,,85c9e6e0900664b75c9f3067cd2f03a6d438c0441a0fbeeea914a68712472f28,717b2119454754814dcb050fd0ef5bead76e9786530a3f893db8995984bca39b,8d8c74bef635e151cafd2bb711b7ffa7bc2fd96a21d266e171c4bb30e380ec39,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
harvestfinance,defihacklabs,ethereum,11129473,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,,ca2-03a929a60d6ca387d4bb,2020-10-26,Harvest Finance,Flashloan Attack,src/test/2020-10/HarvestFinance_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,c41b70ddd318d13aaad01c2ebd818fb9f75d6e6f8efb1b1c53810f7555c3ef9a,"[""https://etherscan.io/tx/0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877"", ""https://rekt.news/harvest-finance-rekt/""]","[""0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877""]",,exact_contract_basename,True,True,,,2020-10-26,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-03a929a60d6ca387d4bb.json,c145822d7da10d7192d56494af7b68881692f98f1754f729b97a8b3ac621927e,cases/ca2-03a929a60d6ca387d4bb.json,9e5d0ee58de794f6a187dc6c56538714ade04198d19777b6b3f2352b5d6f069e,,,,,,,,,,,,ca2-03a929a60d6ca387d4bb,cases/ca2-03a929a60d6ca387d4bb.json,9e5d0ee58de794f6a187dc6c56538714ade04198d19777b6b3f2352b5d6f069e,2020-10-19T14:02:34Z,2020-10-20T14:02:35Z,1017,EIP1967_PROXY,,1:0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,fddcccd0cd2485138ac862077e69c60138e1be434fccd2d4ab7575d37dfe8931,eip1967:0x9b3be0cc5dd26fd0254088d03d8206792715588b,,,,eb4814ab3f62f300dffdabfe367133df288ca921ea5b4128d7f91c9cb3dacab2,f0035ee657812a0ff8aee5420461ba86beede8a3e20a42624484c70870387dc2,97ef48b30a3d94252d5391d529392de2fc03f1c2030dd0b828e3275da4bfc4d6,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,VERIFIED_STANDARD_PROXY,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
sushi_badger_digg,defihacklabs,ethereum,11720049,0xe11fc0b43ab98eb91e9836129d1ee7c3bc95df50,shanghai,ca2-b68f8de37da66632724d,2021-01-25,Sushi Badger Digg,Sandwich attack,src/test/2021-01/Sushi_Badger_Digg_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,6cc76f4b0a801f0f122487a783e4e2c3b59a2fb508f651b6ead428f2cfd64ad7,"[""https://cmichel.io/replaying-ethereum-hacks-sushiswap-badger-dao-digg/""]",[],,exact_contract_basename,True,True,,,2021-01-25,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-b68f8de37da66632724d.json,9ce4fe4f39fa96874832ecfea41d074d61622a7268f278fd19c2ccbd754949f0,cases/ca2-b68f8de37da66632724d.json,e1e1c5a99856f3d7cbf9eea130c515ee4a10242dd79923c5fdca3a84861b1aa9,,,,,,,,,,,,ca2-b68f8de37da66632724d,cases/ca2-b68f8de37da66632724d.json,e1e1c5a99856f3d7cbf9eea130c515ee4a10242dd79923c5fdca3a84861b1aa9,2021-01-10T11:57:22Z,2021-01-11T11:57:26Z,6022,,,1:0xe11fc0b43ab98eb91e9836129d1ee7c3bc95df50,c245b77406d83ba61ede124537041a573311691e93953c127351d673918e0826,,,,,50db9f46ba16d00c8daa946fb4358e56e810f3ba0786a0f2a16dff01f4e19064,9956f19528b1d69c1b4a9c76693fa30dca095dcba286b618e881c839e01a0b7b,bb12b697a1db4e98d362f2ed95b4f5809757b9be3fa53e3ca988ddc796d1eec5,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
lendfme,defihacklabs,ethereum,9899725,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,,ca2-57582b3e77f95ed74d3f,2020-04-19,LendfMe,ERC777 Reentrancy,src/test/2020-04/LendfMe_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,e677aa96067ef58ffc2bfdf68f5648eb770e9cd210e39d3ed6eb2de7cb477191,"[""https://peckshield.medium.com/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09""]",[],,exact_contract_basename,True,True,,,2020-04-19,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-57582b3e77f95ed74d3f.json,5b3e5f9b6cfd8fdff5e2abee1f4a1ce6c47be2e5361ca21ed31b1495e64b8561,cases/ca2-57582b3e77f95ed74d3f.json,91e4ef560f3b4f64c9d00efb9996ef86d4ce314bcb3ae23a381e3015dfbc5256,,,,,,,,,,,,ca2-57582b3e77f95ed74d3f,cases/ca2-57582b3e77f95ed74d3f.json,91e4ef560f3b4f64c9d00efb9996ef86d4ce314bcb3ae23a381e3015dfbc5256,2019-08-06T06:16:57Z,2019-08-07T06:17:15Z,19206,,,1:0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,b6ebfdb326e60f04ac6fbb4bb51b6ededed32158bd1fcc0bb97a3f827200b674,,,,,b33c8091b88d96ab6d36332b6ec77c1f4e61905cd8911f6936f8d30bd7405825,8dd5feb1efab0da1c974fb861cf6adf046cd6b41136b444b9753ce5412450665,6738b26fdf9db9b963e6d3ab123530576817b68c86262ce9c9c01227d714112f,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
yearn_ydai,defihacklabs,ethereum,11792183,0xacd43e627e64355f1861cec6d3a6688b31a6f952,shanghai,ca2-b6eef501c6bfb6ae40e1,2021-02-04,Yearn YDai,Slippage proection absent,src/test/2021-02/Yearn_ydai_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,089690c08fc86910dc446f979c46e99708d6ddce64e4303b043f4387d8cc8df8,"[""https://etherscan.io/tx/0x59faab5a1911618064f1ffa1e4649d85c99cfd9f0d64dcebbc1af7d7630da98b"", ""https://github.com/yearn/yearn-security/blob/master/disclosures/2021-02-04.md""]","[""0x59faab5a1911618064f1ffa1e4649d85c99cfd9f0d64dcebbc1af7d7630da98b""]",,exact_contract_basename,True,True,,,2021-02-04,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-b6eef501c6bfb6ae40e1.json,06b3bd05dcf71ba867faea76391d490fc13c92725f25024e89647565fa8bed55,cases/ca2-b6eef501c6bfb6ae40e1.json,3d91a93f6c5e91fe99f05aea96e1fc4277dbfc19cbb697cd7126374089594cea,,,,,,,,,,,,ca2-b6eef501c6bfb6ae40e1,cases/ca2-b6eef501c6bfb6ae40e1.json,3d91a93f6c5e91fe99f05aea96e1fc4277dbfc19cbb697cd7126374089594cea,2020-08-13T06:56:48Z,2020-08-14T06:56:58Z,12304,,,1:0xacd43e627e64355f1861cec6d3a6688b31a6f952,a8dd6576e26d22e9adc2069144ea2869ff3df319f1a6dfbbda96c2c0ee766ca9,,,,,b8c7e5a348e0feec5ab06679688fa43c0be6ffce854b41302f3ff503be7e3f26,9006a534980ba8c8803bdca3326a7537f4e07c2c7f90b2a2b0fd2f293322bd1e,7dabc45b4a3f7c4fdd5b1ece77d31ef5520a830848d53eb9a7215ec7be79de1b,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
uranium,defihacklabs,bsc,6920000,0xa943ea143cd7e79806d670f4a7cf08f8922a454f,shanghai,ca2-36bcb163bd23551701cc,2021-04-28,Uranium,Miscalculation,src/test/2021-04/Uranium_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,9d3eb5e27031d69b5e57b9f3040bd23c3bfd10c631389c6b250f9f8f3d98d7fd,"[""https://bscscan.com/tx/0x5a504fe72ef7fc76dfeb4d979e533af4e23fe37e90b5516186d5787893c37991"", ""https://twitter.com/FrankResearcher/status/1387347025742557186""]","[""0x5a504fe72ef7fc76dfeb4d979e533af4e23fe37e90b5516186d5787893c37991""]",,exact_contract_basename,True,True,,,2021-04-28,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",retained,,cases/ca2-36bcb163bd23551701cc.json,87eed32481c2e9e21e8a9620fe8f83e9a982aef672309089a47c98930c2dabfc,cases/ca2-36bcb163bd23551701cc.json,3814dc1b5245a7485c89c109d21f1d6d28d3102c725f1278d6ef163bc585c805,,,,,,,,,,,,ca2-36bcb163bd23551701cc,cases/ca2-36bcb163bd23551701cc.json,3814dc1b5245a7485c89c109d21f1d6d28d3102c725f1278d6ef163bc585c805,2021-04-16T06:34:04Z,2021-04-17T06:34:05Z,14770,,,56:0xa943ea143cd7e79806d670f4a7cf08f8922a454f,97b0f99a59fd031ac17cbb11868bed5e218ce6d79ffdf3f6cdac0657dbe14f44,,,,,e89aff6da1f768ddcdf5fb5c5e67713c70b90b0e0c910fcca3ecd261c645a4dd,0e1c6c60e42a7be195779de7c95fbc53f8cfa0db3a14106cecd29189e7cfeeeb,b574dc96311962798d9642b8d36e8967ade7173d2762ed53d48b4bf47e3eb81f,DERIVED_STRICT_SNAPSHOT,DERIVED_STRICT_SNAPSHOT,DERIVED_CONSENSUS_RUNTIME_CODE,UNRESOLVED:requires_loupe_or_historical_event_resolver,UNRESOLVED_NO_CUTOFF_SOURCE_VERIFICATION_EVIDENCE,DERIVED_EXACT_CHAIN_ADDRESS,DERIVED_METADATA_STRIPPED_BYTECODE_SHA256,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_INDEPENDENT_ADJUDICATION_REQUIRED,UNRESOLVED_METHODS_OWNER_FREEZE_REQUIRED
