item_id,critical,artifact,review_question,passing_evidence,decision,reviewer_evidence,required_action
INTAKE-R01,true,00-governance/program-charter.md,"Is the core question falsifiable and operationally measurable without assuming detector success?","Exact estimand, comparison ladder, and negative-result interpretation are explicit.",UNKNOWN,,
INTAKE-R02,true,00-governance/program-charter.md,"Are C001 novelty and C002 feasibility represented only as hypotheses?","No verified novelty, GO, operational-usefulness, or submission claim appears.",UNKNOWN,,
INTAKE-R03,true,00-governance/program-charter.md,"Does the charter preserve the public-research-only confidentiality boundary?","Private keys, embargoed vulnerabilities, participant data, proprietary inputs, and export-controlled inputs remain excluded.",UNKNOWN,,
INTAKE-R04,true,00-governance/program-charter.md,"Are archive/RPC execution, live-target testing, analyst-participant research, private disclosure work, prospective deployment, and submission explicitly unauthorized?","Every excluded activity has a separate future authority gate.",UNKNOWN,,
INTAKE-R05,true,00-governance/study-profile.json,"Are field, study type, and adapter suitable for the narrow computational benchmark-methods route?","Field and computational-benchmark profile match the current non-executed article scope.",UNKNOWN,,
INTAKE-R06,true,00-governance/study-profile.json,"Is the article type accurately limited to a public-evidence methods/preregistration draft?","No empirical-results or submission-authorized article type is implied.",UNKNOWN,,
INTAKE-R07,true,00-governance/study-profile.json,"Is the jurisdiction statement appropriately limited rather than inferred?","Current public-source scope is separated from deployment-specific jurisdiction and institutional determinations.",UNKNOWN,,
INTAKE-R08,true,00-governance/study-profile.json,"Is the ethics category defensible for the current scope and explicitly reopenable for later activities?","Public-data noninterventional dual-use classification is bounded; human, private-data, intervention, and disclosure triggers are preserved.",UNKNOWN,,
INTAKE-R09,true,00-governance/study-profile.json,"Is the evidence standard proportional to the planned claims?","Operational, external, and prospective claims require matched validation and independent adjudication.",UNKNOWN,,
INTAKE-R10,true,00-governance/study-profile.json,"Is the reporting route honestly provisional?","Target venue and governing benchmark/reporting checklist remain unresolved rather than fabricated.",UNKNOWN,,
INTAKE-R11,true,00-governance/program-charter.md|00-governance/study-profile.json,"Are material disagreements, missing expertise, and residual authority gaps explicit?","Reviewer records all limitations and required revisions before signing.",UNKNOWN,,
INTAKE-R12,true,00-governance/program-charter.md|00-governance/study-profile.json,"Is the reviewer independent of the producer and authenticated outside the case?","Signed registry entry, distinct identity, key possession, and accountable out-of-band identity binding are documented.",UNKNOWN,,
