question_id,stage,category,killer_question,initial_status,fix_or_control,final_status,required_or_produced_evidence,blocking_owner
2A-KQ-01,2A,chronology,Is the deployment transaction independently known for every retained case?,UNRESOLVED,Add archive/indexer deployment-transaction resolver with provider consensus.,BLOCKED,"Deployment transaction hash, block number, timestamp, and two-source corroboration.",data-operations
2A-KQ-03,2A,chronology,Is the incident block or timestamp independently corroborated?,UNRESOLVED,Seed public incident dates and require attack-transaction or second-source confirmation.,PARTIAL,417/417 incident dates recovered from frozen hashed DeFiHackLabs history; 60 cases include transaction-hash hints; independent second-source/receipt corroboration remains required.,data-operations
2A-KQ-06,2A,source availability,Is the first defensible public availability time of verified source code known?,MISSING,"Implement explorer-history, repository-commit, and archival-snapshot adapters.",BLOCKED,First-publication timestamp plus source snapshot hash.,data-operations
2A-KQ-07,2A,bytecode availability,Is runtime bytecode available at the exact cutoff block?,MISSING,Query eth_getCode at historical block from two archive providers.,BLOCKED,"Provider responses, block hash, bytecode hash, and consensus result.",data-operations
2A-KQ-16,2A,independent reproduction,Can an independent reviewer reconstruct at least 10% of timelines?,NOT_TESTED,Prepare blinded re-retrieval package and discrepancy protocol.,BLOCKED,Independent timeline-reconstruction report.,external-review
2B-KQ-04,2B,historical code,"Is runtime bytecode captured at the cutoff, not at present day?",MISSING,Historical eth_getCode adapter with block-hash pinning.,BLOCKED,Archive RPC responses for 417 cases.,data-operations
2B-KQ-05,2B,code semantics,"Are empty-code, self-destructed, and redeployed addresses distinguished?",NOT_HANDLED,Track code presence over time and creation/destruction/redeployment events.,BLOCKED,Historical code timeline and creation traces.,data-operations
2B-KQ-06,2B,normalization,Is Solidity metadata stripped before semantic bytecode hashing?,NOT_IMPLEMENTED,Implement metadata trailer parsing and preserve raw plus normalized hashes.,BLOCKED,Historical bytecode corpus and parser validation fixtures.,pipeline
2B-KQ-07,2B,compiler provenance,"Are compiler version, optimizer settings, and linked libraries captured when available?",MISSING,Enrich from verified-source metadata and compiler artifacts.,BLOCKED,Explorer/Sourcify metadata snapshots.,data-operations
2B-KQ-08,2B,proxy lineage,Are EIP-1967 transparent/UUPS implementation slots resolved at cutoff?,MISSING,Historical eth_getStorageAt reads for implementation/admin slots.,BLOCKED,Slot values pinned to cutoff block.,data-operations
2B-KQ-09,2B,proxy lineage,Are beacon proxies resolved through the beacon implementation at cutoff?,MISSING,Resolve beacon slot then implementation() at historical state.,BLOCKED,Historical beacon and implementation evidence.,data-operations
2B-KQ-10,2B,proxy lineage,Are EIP-1167 minimal proxies and clones detected?,MISSING,Match minimal-proxy bytecode patterns and resolve target implementation.,BLOCKED,Runtime bytecode at cutoff.,pipeline
2B-KQ-11,2B,proxy lineage,Are diamond/facet relationships represented?,MISSING,Resolve loupe functions/events and build facet-set identities.,BLOCKED,"Historical calls, events, and facet code hashes.",data-operations
2B-KQ-12,2B,metamorphic contracts,"Are CREATE2, metamorphic, and address-reuse cases treated as time-indexed identities?",NOT_HANDLED,"Key code identity by chain, address, and validity interval.",BLOCKED,Creation traces and code-history observations.,data-operations
2B-KQ-13,2B,libraries,Are shared linked libraries represented as dependency edges?,MISSING,Parse link references and verified source dependencies.,BLOCKED,Compiler metadata and code hashes.,data-operations
2B-KQ-14,2B,implementation history,Are proxy upgrades between deployment and cutoff reconstructed?,MISSING,Replay upgrade events and confirm storage at cutoff.,BLOCKED,Event logs plus historical storage consensus.,data-operations
2B-KQ-15,2B,source clones,Are exact normalized-source clones grouped?,MISSING_CORPUS,Canonicalize source bundles and hash normalized AST/text representations.,BLOCKED,Verified source snapshots.,pipeline
2B-KQ-16,2B,near clones,Is the near-clone metric validated for Solidity and frozen before outcome inspection?,UNFROZEN,"Preregister metric, threshold, and 0.85/0.90/0.95 sensitivity analysis.",BLOCKED,Source/bytecode corpus and manual validation sample.,methodology
2B-KQ-17,2B,provider consensus,Do independent providers agree on cutoff bytecode and storage?,NOT_TESTED,Require two observations or explicit disagreement adjudication.,BLOCKED,Provider comparison report.,data-operations
2C-KQ-01,2C,protocol family,Are protocol-family labels supported by official deployment/governance evidence rather than names alone?,NAME_HEURISTIC_ONLY,"Dual-review codebook using deployer, governance, repository, and upgrade evidence.",BLOCKED,Signed reviewer decisions and source citations.,external-review
2C-KQ-03,2C,authority,"Are common deployers, upgrade admins, multisigs, and governance controllers captured?",MISSING,Build authority graph from deployment and governance evidence.,BLOCKED,On-chain authority records and reviewer validation.,data-operations
2C-KQ-04,2C,mechanism taxonomy,Are mechanism labels cause-level rather than broad categories such as 'flash loan'?,TECHNIQUE_LABELS,Map public labels to a draft cause taxonomy and require root-cause review.,PARTIAL,417 preliminary mechanism candidates; 385 map to the frozen candidate taxonomy; independent root-cause review pending.,external-review
2C-KQ-08,2C,reviewer independence,Are two reviewers independent and blind to detector outputs?,NO_REVIEWERS,Assign independent reviewers and hide model predictions during labeling.,BLOCKED,"Reviewer roster, conflicts, and blind-review logs.",governance
2C-KQ-12,2C,agreement,Does protocol-family agreement meet kappa >= 0.80?,NOT_MEASURED,Calculate agreement before adjudication.,BLOCKED,Two independent protocol label sets.,external-review
2C-KQ-13,2C,agreement,Does mechanism-family agreement meet kappa/alpha >= 0.80?,NOT_MEASURED,Calculate Cohen kappa or Krippendorff alpha as appropriate.,BLOCKED,Two independent mechanism label sets.,external-review
2C-KQ-15,2C,blinded rereview,Is at least 10% of resolved cases blindly re-reviewed?,NOT_EXECUTED,Sample after adjudication using frozen seed.,BLOCKED,Blinded re-review report.,external-review
2D-KQ-01,2D,controls,Does the cohort contain contemporaneous control contracts?,POSITIVE_ONLY,Collect matched deployment-time controls from the same chains and periods.,BLOCKED,"At least 4,170 matched controls under current 10:1 plan.",data-operations
2D-KQ-02,2D,denominator,Is there a prevalence-preserving deployment-stream denominator?,NO_DENOMINATOR,"Collect at least 20,000 qualifying deployments.",BLOCKED,Versioned deployment stream and inclusion log.,data-operations
2D-KQ-06,2D,property bounds,Are negative claims limited to explicitly tested properties?,NO_PROPERTY_EVIDENCE,"Require property identifier, tool/version, scope, and successful test evidence.",BLOCKED,Property-bounded negative records.,data-operations
2D-KQ-08,2D,follow-up,Is the follow-up horizon frozen before outcome inspection?,UNFROZEN,Preregister primary horizon and sensitivity horizons.,BLOCKED,Dated preregistration before collection.,methodology
2D-KQ-09,2D,observability,Are outcome-observation sources and last-seen times recorded?,MISSING,Add longitudinal observation service and evidence log.,BLOCKED,Observation timestamps and source hashes.,data-operations
2D-KQ-15,2D,negative verification,Are property-bounded negatives independently checked?,NOT_AVAILABLE,Dual-review negative evidence and replay artifacts.,BLOCKED,Independent replay/adjudication records.,external-review
2D-KQ-19,2D,prevalence,Can precision and workload be estimated at realistic prevalence?,NO_DENOMINATOR,Use the deployment stream rather than balanced-only evaluation.,BLOCKED,"At least 20,000 deployment records with outcomes/follow-up.",data-operations
2D-KQ-20,2D,outcome review,Are positive and control outcomes independently adjudicated?,SINGLE_SOURCE,Require dual review plus third-reviewer resolution.,BLOCKED,Outcome adjudication records and agreement statistics.,external-review
2E-KQ-02,2E,source clone,Is exact/near source-clone leakage zero?,UNKNOWN,Build source clone components and group partitions.,BLOCKED,Verified source corpus and clone audit.,data-operations
2E-KQ-03,2E,bytecode clone,Is raw and normalized bytecode-family leakage zero?,UNKNOWN,Group raw and metadata-stripped code components.,BLOCKED,Historical bytecode corpus.,data-operations
2E-KQ-04,2E,proxy family,Is proxy/implementation-family leakage zero?,UNKNOWN,Group all proxies and implementations in connected components.,BLOCKED,Historical proxy graph.,data-operations
2E-KQ-05,2E,library dependency,Do shared library dependencies remain inside one partition when required?,UNKNOWN,Include linked-library edges under frozen dependency policy.,BLOCKED,Compiler/source dependency evidence.,data-operations
2E-KQ-06,2E,protocol family,Is adjudicated protocol-family leakage zero?,UNKNOWN,Group protocol components after dual review.,BLOCKED,Adjudicated protocol labels.,external-review
2E-KQ-07,2E,mechanism family,Is cause-level exploit-mechanism leakage zero for R5?,UNKNOWN,Group mechanism families after dual review.,BLOCKED,Adjudicated mechanism labels.,external-review
2E-KQ-08,2E,attacker family,Is attacker-family dependence audited without leaking into detector inputs?,UNKNOWN,Build evaluator-only attacker components and compare operational vs oracle partitions.,BLOCKED,Post-outcome attribution with evidence and access controls.,external-review
