risk_id,criticality,category,scope,likelihood,impact,status,evidence_grade,direct_evidence_or_gap,owner,dependency,deadline_or_milestone,consequence,mitigation,verification_action,progression_or_stop_trigger,residual_risk
R001,FATAL,novelty_positioning,both,Medium,Severe,AT RISK,E2,"The novelty artifacts support only a narrow joint interaction-and-measurement claim; component novelty is defeated by SCONE, CyberChainBench, Re-Evaluating EVMbench, clone work, FinSurvival, EPSS, OWASP SCSVS, EEA EthTrust, and attacker-campaign studies.","root integration owner","Claim-language freeze against NM012 and NM013","Before study-design approval","An overbroad claim collapses the paper into recombination benchmark engineering and invalidates top-tier framing.","Freeze the contribution as capability-survival measurement under joint contamination control, not detector novelty or first-of-kind component novelty.","Independent line-by-line claim audit against novelty-matrix.csv and candidate-portfolio.md.","Stop any top-tier or first-of-kind claim if a component-level novelty statement reappears.","Proprietary or inaccessible predecessors can still narrow the claim further."
R002,FATAL,admissibility_manifest,both,High,Severe,AT RISK,E3,"Pilot cycles 1-3 freeze the rules and preserve three immutable manifest revisions. Cycle 3 executed a representative CA-P04 attempt, but the authorized route failed before returning historical bytecode; 0/5 real incidents remain split-eligible.","benchmark_governance_lead","Historical case provenance and definitive schema review","Before retrospective corpus assembly","Without complete real-case manifests the central estimand remains unusable even though the pilot schema is mechanically operable.","Complete at least one representative real-case manifest end to end with prediction-time source/bytecode/proxy/compiler/version evidence and independently rerun it.","Independent schema review plus rerun on the recovered real-case sample.","Stop progression to data collection if a critical case class cannot be completed lawfully or rerun consistently.","Proxies, upgrades, incomplete public artifacts, transport failures, and disputed status evidence may still break the definitive manifest."
R003,CRITICAL,protocol_entity_lineage,both,High,High,AT RISK,E2,"NM004 remains UNRESOLVED and problem-investigation.md lists protocol and entity lineage as a key leakage path, but no reproducible lineage ontology or rerunnable assignment rule is present.","benchmark_data_governance_lead","Lineage ontology, factory/fork/upgrade rules, and audit trail","Before split-ladder design freeze","Lineage leakage can preserve family transfer even when time-only splits look clean.","Define and version lineage rules, including ownership changes, factories, upgrades, and fork relationships.","Blind rerun by an independent reviewer on a held-out sample of contracts and protocols.","Require redesign if inter-reviewer or rerun disagreement remains material at design freeze.","Lineage may still be partly subjective for merged protocols or opaque organizational relationships."
R004,CRITICAL,clone_normalization,both,Medium,High,AT RISK,E2,"NM005 shows clone leakage is established and Clone Detection papers support feasibility, but the allowed artifacts do not verify a benchmark-ready normalized source-plus-bytecode clone pipeline at ChronosAudit scale.","benchmark_data_governance_lead","Normalization pipeline, thresholds, and audit sample","Before split-ladder design freeze","Uncontrolled near-duplicates can inflate capability survival and undermine the strict split ladder.","Adopt explicit normalization, thresholding, and family assignment rules for both source and bytecode views.","Independent rerun on a sampled corpus with disagreement reporting and threshold sensitivity analysis.","Stop joint-independence claims if source and bytecode clone controls cannot be reproduced consistently.","Semantic clones and obfuscated bytecode may remain only partially observable."
R005,CRITICAL,proxy_attacker_mechanism_taxonomy,both,High,High,AT RISK,E2,"Problem-investigation.md and NM006-NM007 require proxy-family, attacker-family, and exploit-mechanism separation, but the allowed artifacts contain no frozen taxonomy or adjudication contract.","smart_contract_security_lead","Taxonomy rules, adjudication SOP, and uncertainty labels","Before split-ladder design freeze","Unstable family labels turn the claimed joint independence policy into analyst judgment and make results non-auditable.","Freeze proxy, attacker, and exploit-mechanism family definitions with allowed uncertainty states and escalation rules.","Independent double-coding on a representative incident sample with disagreement log and adjudication thresholds.","Stop benchmark-core progression if family assignment cannot reach a stable audited contract.","Some exploit chains may span multiple mechanisms or attacker infrastructures and remain inherently ambiguous."
R006,FATAL,censoring_and_population_status,both,High,Severe,AT RISK,E3,"Pilot rules freeze `CONFIRMED_POSITIVE`, property-bounded `MATURE_INVESTIGATED_NEGATIVE`, and `RIGHT_CENSORED_UNRESOLVED`. Cycle 3 freezes CA-P09 before follow-up with enumerated properties, evidence windows, endpoints, and independent adjudication, but the 365-day window cannot close before 2027-08-01 and no mature-negative result is yet demonstrated.","statistics_and_methods_lead","Prespecified mature-negative example plus definitive maturity protocol","Before confirmatory analysis plan or prospective authorization","Closed-world labels can misstate utility, while ad hoc evidence binding can make the benchmark statistically non-credible.","Execute CA-P09 exactly as frozen and retain right-censoring until the full follow-up and independent rerun close; do not relabel CA-P08.","Independent methods review plus worked examples on sampled historical cases.","Stop any population-level utility claim if mature-negative and censored states cannot be prespecified and independently reproduced.","Sparse follow-up, unavailable public disclosures, and hidden exploits may leave residual misclassification even after rule refinement."
R007,CRITICAL,negative_sampling_and_base_rate,both,High,High,AT RISK,E2,"The intake and problem-investigation identify unrealistic negatives and base-rate distortion as core threats, but no frozen negative-sampling contract or workload-aware denominator is present.","statistics_and_methods_lead","Population frame, alert-budget definition, and analysis denominator","Before benchmark cohort freeze","Easy negatives can inflate precision and make workload claims non-transferable.","Define the eligible contract population, negative-selection rules, and realistic alert-budget denominators before model evaluation.","Independent denominator audit against the final cohort definition and abstention policy.","Require redesign if benchmark negatives are easier than the stated deployment population.","True deployment base rates may still drift across time and ecosystems."
R008,CRITICAL,executable_grading_safety,both,Medium,High,AT RISK,E3,"Accessed 2026-08-01. Local authority evidence now directly freezes the pilot to public-data-only work with no live-target scanning, transaction submission, disclosure outreach, private keys, or nonpublic vulnerability material (`00-governance/decision-log.md`, 2026-08-01 public-data feasibility-pilot authority entry; `02-feasibility/pilot-plan.md`). The authorization resolves the pilot safety boundary, but the allowed artifacts still do not define a sandbox-only grading contract or replay SOP.","evaluation_security_lead","Replay environment, nonproduction safety boundary, and evidence ladder SOP","Before any executable grading pipeline is built","Unsafe replay or target-specific grading can still breach the public-only research boundary and create dual-use harm if the grading contract is improvised.","Restrict executable grading to isolated historical forks, synthetic harnesses, or otherwise authorized nonproduction environments and document forbidden actions.","Security review of the grading pipeline and explicit no-live-target checklist.","Stop any grading workflow that requires live systems, private keys, undisclosed vulnerabilities, or actions outside the frozen public-data scope.","Historical replay may still expose exploit details that need selective redaction in outputs."
R009,FATAL,archival_access_and_timestamp_provenance,both,High,Severe,AT RISK,E3,"Cycle 3 exercised the authorized Cloudflare trial route with the two frozen CA-P04 eth_getCode reads. Both failed DNS before HTTP or RPC response, so historical bytecode and prediction-time source, implementation, compiler, and version fields remain unbound; all 5/5 real rows remain `HOLD_RECOVERABLE`.","data_provenance_owner","Lawful operational archival access or equivalent public binding, provenance reconstruction plan, and timestamp audit","Before retrospective corpus assembly","If prediction-time observability cannot be reconstructed, admissibility claims collapse and historical cases cannot be timed defensibly.","Under separate authority, test one lawful fallback or equivalent route and complete a representative real-case manifest; retain metadata-only exclusions where source-publication timing cannot be proven.","Independent spot-check of prediction-time reconstruction against preserved public records and any required archival providers.","Stop retrospective corpus construction if any critical case class lacks documented archival access or timestamp fidelity.","DNS, rate limits, account requirements, retroactive edits, and partial provider coverage may block nominally public routes."
R010,FATAL,data_rights_and_licensing,both,High,Severe,AT RISK,E3,"`pilot-results.md` records a source-by-source bounded-use matrix. All selected pilot sources had a local-analysis, derived-output, or metadata/link-only fallback, so internal pilot coverage is complete. Per-contract redistribution remains unresolved for SmartBugs and Sourcify-derived sources; MANDO-LLM remains metadata-only; no release right is inferred from public visibility.","data_rights_owner","Release-scope rights review by source and jurisdiction","Before any collection, redistribution, or release","Unauthorized use or redistribution can still block publication, force takedown, or create legal exposure even though the bounded pilot path is documented.","Extend the matrix into a release rights ledger covering inspection, storage, analysis, redistribution, release, and derivative artifacts; default unclear sources to metadata-only citation or exclusion.","Legal and contractual review of the final rights ledger before collection or release beyond the bounded pilot.","Stop any source ingestion or public release when a critical source lacks an explicit lawful-use path or only supports uses narrower than the planned artifact.","Terms can change and some public artifacts remain non-redistributable or license-fragmented even within ostensibly open repositories."
