source_id,title,authors,year,venue_or_status,primary_url,doi_or_identifier,source_type,accessed_at,access_status,scope_codes,verified_contribution,chronosaudit_overlap,missing_or_unverified_controls,novelty_implication,evidence_grade
PA001,"SmartBugs: A Framework to Analyze Solidity Smart Contracts","Joao F. Ferreira; Pedro Cruz; Thomas Durieux; Rui Abreu",2020,"ASE 2020","https://arxiv.org/abs/2007.04771","10.1145/3324884.3415298","primary paper",2026-08-01,"full public record","S1;S9","Reproducible framework comparing ten tools with annotated and large-scale contract datasets.","Reproducible smart-contract benchmark infrastructure and labeled corpora.","No verified joint temporal-lineage-clone-mechanism separation; no censor-aware population; no prospective shadow study.","Defeats novelty of reproducible multi-tool benchmarking alone.",E2
PA002,"SmartBugs Curated","SmartBugs project contributors",2026,"Official repository, accessed 2026-08-01","https://github.com/smartbugs/smartbugs-curated","GitHub repository","official dataset repository",2026-08-01,"public repository","S1;S5;S9","Annotated vulnerable Solidity contracts with source-level provenance comments and vulnerability taxonomy labels.","Case-level benchmark data and weakness taxonomy.","No verified prediction-time admissibility or joint independence policy.","Shows that curated annotated vulnerability corpora and public provenance are established components.",E2
PA003,"SolidiFI: Automated Bug Injection Testing Framework for Smart Contracts","Asem Ghaleb; Karthik Pattabiraman",2020,"ISSTA 2020","https://arxiv.org/abs/2005.11613","10.1145/3395363.3397385","primary paper",2026-08-01,"full public record","S2;S9","Systematically injects thousands of bugs from multiple classes into Solidity contracts and evaluates analysis tools for false positives and false negatives.","Executable or controlled evidence generation and benchmark reproducibility.","Synthetic mutation rather than real pre-incident population; no joint contamination or prospective controls.","Defeats novelty of executable benchmark construction and controlled false-positive analysis alone.",E2
PA004,"DAppSCAN: Building Large-Scale Datasets for Smart Contract Weaknesses in DApp Projects","Zibin Zheng and collaborators",2023,"arXiv 2305.08456","https://arxiv.org/abs/2305.08456","arXiv:2305.08456","primary paper",2026-08-01,"full public record","S1;S5;S9","Builds a large audit-derived dataset from public reports and DApp source files with weakness labels.","Real audit evidence, project-level provenance, and weakness taxonomy.","No verified joint split policy, censoring, workload evaluation, or sealed prospective deployment.","Defeats novelty of audit-report-derived large-scale datasets.",E2
PA005,"MANDO: Multi-Level Heterogeneous Graph Embeddings for Fine-Grained Detection of Smart Contract Vulnerabilities","Duc C. Nguyen and collaborators",2022,"IEEE DSAA 2022","https://arxiv.org/abs/2208.13252","10.1109/DSAA54385.2022.10032337","primary paper",2026-08-01,"full public record","S5;S9","Uses heterogeneous contract graphs for contract- and line-level vulnerability detection.","Reference structural detector and adapter candidate.","Detector-centric evaluation; no verified joint admissibility, censor-aware population, or prospective study.","Supports MANDO-family use as a baseline but not novelty of ChronosAudit's protocol.",E2
PA006,"MANDO-LLM: Fine-Grained Smart Contract Vulnerability Detection with Heterogeneous Graph Transformers and Large Language Models","Duc C. Nguyen and collaborators",2025,"ACM Transactions on Software Engineering and Methodology","https://dl.acm.org/doi/10.1145/3765751","10.1145/3765751","publisher metadata and abstract",2026-08-01,"metadata/abstract only","S5;S9","Publisher metadata identifies a detector combining heterogeneous graph modeling with large language models.","Candidate frozen structural-plus-LLM reference auditor.","Full methodology and evaluation details were not accessible in the reviewed surface; all ChronosAudit control comparisons remain unverified.","May serve as a baseline; cannot support or defeat the joint-protocol claim without full-text review and reproduction.",E1
PA007,"Combatting Front-Running in Smart Contracts: Attack Mining, Benchmark Construction and Vulnerability Detector Evaluation","Zheng Zhang and collaborators",2023,"IEEE Transactions on Software Engineering","https://arxiv.org/abs/2212.12110","10.1109/TSE.2023.3270117","primary paper",2026-08-01,"full public record","S1;S2;S5;S9","Builds a real front-running attack benchmark with contract localization and evaluates multiple detectors.","Real attack corpus, mechanism-specific labels, and detector evaluation.","Mechanism-specific rather than jointly mechanism-separated; no censor-aware or sealed prospective evaluation.","Defeats novelty of real-attack benchmark construction and mechanism-specific tool evaluation.",E2
PA008,"Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited","Daniel Perez; Benjamin Livshits",2019,"USENIX Security Workshop / arXiv","https://arxiv.org/abs/1902.06710","arXiv:1902.06710","primary paper",2026-08-01,"full public record","S1;S6;S7","Compares tool-flagged vulnerabilities with observed exploitation in historical Ethereum activity and reports that only a small fraction of flagged contracts were exploited.","Separates vulnerability flags from realized exploit events and highlights base-rate consequences.","Does not model unresolved contracts as right-censored observations or implement the joint contamination ladder.","Defeats novelty of the vulnerable-versus-exploited distinction and low-base-rate concern.",E2
PA009,"SmartState: Detecting State-Reverting Vulnerabilities in Smart Contracts via Fine-Grained State-Dependency Analysis","Yi Liao and collaborators",2023,"ISSTA 2023 / arXiv 2406.15988","https://arxiv.org/abs/2406.15988","10.1145/3597926.3598111","primary paper",2026-08-01,"full public record","S1;S2;S5;S9","Combines historical transactions and bytecode-oriented analysis for state-reverting vulnerabilities and evaluates on manually grounded cases and a large contract corpus.","Historical transaction evidence and mechanism-focused validation.","No verified joint admissibility, clone-lineage controls, censoring, or sealed prospective evaluation.","Defeats novelty of combining historical-chain evidence with vulnerability analysis.",E2
PA010,"EVMbench: Evaluating AI Agents on Smart Contract Security","Justin Wang; Andreas Bigger; Xiaohai Xu; Justin W. Lin; Andy Applebaum; Tejal Patwardhan; Alpin Yukseloglu; Olivia Watkins",2026,"arXiv 2603.04915 and official benchmark release","https://arxiv.org/abs/2603.04915","arXiv:2603.04915","primary paper and official benchmark page",2026-08-01,"full public record","S1;S2;S9","Uses real audited repositories and programmatic detection, patching, and exploit tasks with executable grading and uncertainty reporting.","Real cases, executable evidence, and reproducible agent evaluation.","No verified joint temporal-lineage-clone-mechanism split, censor-aware population, or sealed prospective deployment.","Defeats novelty of executable real-audit AI-agent benchmarking.",E2
PA011,"Re-Evaluating EVMBench: Are AI Agents Ready for Smart Contract Security?","Chaoyuan Peng; Lei Wu; Yajin Zhou",2026,"arXiv 2603.10795","https://arxiv.org/abs/2603.10795","arXiv:2603.10795","primary preprint",2026-08-01,"full public record","S3;S7;S9","Evaluates 26 configurations across three scaffolds and a 22-incident post-release dataset and reports material scaffold sensitivity.","Post-release contamination control and evaluation-scaffold sensitivity.","No verified protocol/entity/clone/mechanism joint separation, censor-aware negatives, or prospective shadow cohort.","Directly defeats novelty of post-release evaluation and scaffold-sensitivity analysis alone.",E2
PA012,"AI agents find $4.6M in blockchain smart contract exploits / SCONE-bench","Winnie Xiao; Cole Killian; Henry Sleight; Alan Chan; Nicholas Carlini; Alwin Peng",2025,"Anthropic official research report","https://www.anthropic.com/research/smart-contracts","Official research page, 2025-12-01","official benchmark report",2026-08-01,"full public official record","S1;S2;S3;S7;S8;S9","Reports 405 historically exploited contracts, post-knowledge-cutoff evaluation, and an October 3 2025 simulation over 2,849 recently deployed contracts without known vulnerabilities; two previously unknown vulnerabilities were found, with cost, simulated revenue, developer contact, and security-partner coordination reported.","Closest located prospective operational predecessor: recent-contract zero-day search, executable evidence, realistic mostly-negative cohort, cost accounting, and disclosure coordination.","No verified longitudinal preregistered cohort, joint lineage/source-bytecode/proxy/attacker/mechanism independence, right-censor-aware inference, frozen retrieval and thresholds over follow-up, or independent outcome adjudication.","Defeats novelty of a one-time prospective recent-contract scan and substantially narrows ChronosAudit to the joint contamination-survival and longitudinal sealed-study contract.",E2
PA013,"CyberChainBench: A Multi-Chain Benchmark for Reconstructing and Evaluating Real-World Smart Contract Exploits","Huang and collaborators",2026,"arXiv 2606.26216","https://arxiv.org/abs/2606.26216","arXiv:2606.26216","primary preprint",2026-08-01,"full public record","S1;S2;S3;S5;S9","Provides hundreds of real incidents across multiple EVM chains, historical mainnet-fork reconstruction, block anchoring, and executable exploit or proxy-patch grading.","Strongest located historical-state and executable-evidence predecessor.","No verified joint protocol/entity/source-bytecode/proxy/attacker/mechanism split, censor-aware population, workload calibration, or sealed prospective deployment.","Defeats broad first-of-kind claims for real-incident historical-state executable benchmarking.",E2
PA014,"When Datasets Deceive: Exposing Overlap in Smart Contract Vulnerability Detection","Quang Nguyen; Tuyen Vu; Minh Pham; Kien Nguyen; Cong Tran",2026,"ICT Express","https://www.sciencedirect.com/science/article/pii/S2405959526000238","10.1016/j.icte.2026.02.002","primary paper",2026-08-01,"publisher metadata and abstract; full body inaccessible in bounded audit","S4;S9","The publisher abstract reports over 34% function-level train-test overlap and construction of a zero-function-overlap benchmark; full methods and dataset definitions were not independently checked.","Direct smart-contract vulnerability benchmark leakage and clone-overlap control.","Full-text methods remain unverified; the accessible record does not establish temporal, protocol lineage, bytecode/proxy/attacker, mechanism, censoring, workload, or prospective controls jointly.","Defeats novelty of recognizing function-overlap leakage and proposing zero-function-overlap evaluation; exact construction details remain only abstract-verified.",E1
PA015,"Clone Detection for Smart Contracts: How Far Are We?","Zuobin Wang; Zhiyuan Wan; Yujing Chen; Yun Zhang; David Lo; Difan Xie; Xiaohu Yang",2025,"Proceedings of the ACM on Software Engineering / FSE","https://zhiyuan-wan.github.io/assets/publications/wang_fse_25_clone.pdf","10.1145/3715776","primary paper",2026-08-01,"full public PDF","S4;S9","Evaluates multiple clone-detection techniques on tens of thousands of verified Solidity contracts and provides a curated benchmark of clone pairs across clone types.","Demonstrates the feasibility and difficulty of normalized clone-family assignment.","Not a vulnerability-evaluation split protocol and does not cover temporal, lineage, mechanism, censoring, or prospective controls.","Defeats novelty of smart-contract clone benchmarking; supports feasibility of a clone-control component.",E2
PA016,"Identifying and Characterizing Semantic Clones of Solidity Functions","Ermanno Francesco Sannini; Francesco Salzano; Simone Scalabrino; Rocco Oliveto; Remo Pareschi; Corrado Aaron Visaggio; Andrea Di Sorbo",2026,"arXiv 2604.26526","https://arxiv.org/abs/2604.26526","arXiv:2604.26526","primary preprint",2026-08-01,"full public record","S4;S9","Develops and validates semantic-clone identification over a large Solidity corpus with a manually checked pair set.","Semantic rather than purely syntactic clone-family construction.","No vulnerability-benchmark split ladder, prediction-time admissibility, censoring, or prospective evaluation.","Shows that semantic clone controls need explicit algorithms and validation; not novel by themselves.",E2
PA017,"Characterizing Code Clones in the Ethereum Smart Contract Ecosystem","Kondo and collaborators",2020,"Empirical Software Engineering / arXiv","https://arxiv.org/abs/1905.00272","arXiv:1905.00272","primary paper",2026-08-01,"full public record","S4","Characterizes large-scale code reuse and clone relationships in deployed Ethereum smart contracts.","Establishes ecosystem-level clone prevalence as a material leakage pathway.","No vulnerability benchmark, prediction-time split, mechanism separation, or prospective evaluation.","Defeats novelty of observing widespread smart-contract code cloning.",E2
PA018,"Truffle Tests for Free: Replaying Ethereum Smart Contracts for Transparency","Christof Ferreira Torres and collaborators",2019,"arXiv 1907.09208","https://arxiv.org/abs/1907.09208","arXiv:1907.09208","primary paper",2026-08-01,"full public record","S2;S9","Replays historical Ethereum contract executions to generate reproducible tests and improve transparency.","Historical replay and reproducible evidence-generation precursor.","Not an exploit-discovery benchmark and lacks all joint contamination and population controls.","Defeats novelty of historical replay as an evidentiary technique.",E2
PA019,"Smart Contract Vulnerabilities: An Updated Systematic Literature Review","Iuliano; Di Nucci",2026,"Journal of Systems and Software / arXiv 2412.01719","https://arxiv.org/abs/2412.01719","10.1016/j.jss.2026.112788","secondary systematic review",2026-08-01,"full public record","S1;S5;S9","Maps a large body of smart-contract vulnerability studies, tools, and benchmarks and supplies terminology and predecessor discovery paths.","Search-completeness aid and benchmark/tool landscape context.","Secondary evidence; cannot establish absence of a joint predecessor and does not itself implement the protocol.","Supports bounded coverage but not the novelty verdict.",E2
PA020,"An Empirical Analysis of Vulnerability Detection Tools for Solidity Smart Contracts","Francesco Salzano; Cosmo Kevin Antenucci; Simone Scalabrino; Giovanni Rosa; Rocco Oliveto; Remo Pareschi",2026,"Empirical Software Engineering","https://link.springer.com/article/10.1007/s10664-026-10867-7","10.1007/s10664-026-10867-7","primary paper",2026-08-01,"full public publisher record","S1;S5;S9","Uses 2,182 manually line-level-annotated instances and compares tool performance across curated and real-world contracts.","Real-world versus curated evaluation gap and manually grounded labels.","No verified joint contamination controls, censoring, selective workload, or prospective shadow study.","Defeats novelty of demonstrating curated-to-real-world performance gaps.",E2
